name,price,info
Olivia Burton OB16US45,15 750,"женские, Англия, кварцевые, 30WR, стекло: минеральное, D 34мм"
D1 Milano UTBL09,21 000,"женские, Италия, кварцевые, 50WR, стекло: сапфировое с антибликовым покрытием, D 34мм, толщина 6мм, d1-UTBL"
D1 Milano CHBJ12,34 750,"мужские, Италия, кварцевые, 50WR, стекло: сапфировое с антибликовым покрытием, D 41,5мм, толщина 10,7мм, вес 172г"
Calvin Klein K3M5115X,14 600,"мужские, США, кварцевые, 30WR, стекло: минеральное, ck-K3M51"
Casio G-SHOCK GM-2100-1AER,30 760,"мужские, японские, кварцевые, 200WR, стекло: минеральное, 44,4х49,3мм, толщина 11,8мм, вес 72г, GM-2100"
LIU JO TLJ1694,45 860,"женские, Италия, кварцевые, 30WR, стекло: минеральное, D 29мм, lj-TLJ16"
Philipp Plein PWYAA0223,16 750,"женские, Германия, кварцевые, 50WR, стекло: минеральное, D 34мм, ширина ремешка 18мм, PWYAA_pp"
SAGA 80737-SVMESV-2L,43 590,"женские, Китай, кварцевые, 30WR, стекло: минеральное, 20х20мм, sg-80737"
Suunto SS050865000,19 900,"мужские женские, Финляндия, процессор, 100WR, стекло: сапфировое, D 49мм, толщина 13,6мм, ширина ремешка 22мм, вес 86г"
Casio G-SHOCK GM-2100B-3AER,24 500,"мужские, японские, кварцевые, 200WR, стекло: минеральное, 44,4х49,3мм, толщина 11,8мм, вес 72г, GM-2100"
Swiss Military Hanowa SMWLB2200211,23 260,"женские, швейцарские, кварцевые, 100WR, стекло: сапфировое, D 35мм, SMWLB22002"
Garmin 010-02539-11,34 990,"женские, США, процессор, 100WR, стекло: минеральное Power Glass, D 42мм, толщина 14,1мм, ширина ремешка 20мм, вес 63г"
Swarovski 5580600,25 600,"женские, швейцарские, кварцевые, 50WR, стекло: минеральное, D 39,5мм, длина ремешка 19см"
Invicta IN38385,117 900,"мужские, США, кварцевые, 100WR, стекло: минеральное Flame Fusion, D 52мм, ширина браслета 32мм, длина браслета 190мм"
Tsar Bomba TB8204Q-14,182 690,"мужские, США, кварцевые, 50WR, стекло: сапфировое"
Armani Exchange AX1955,51 900,"мужские, США, кварцевые, 100WR, стекло: минеральное, D 44мм, ширина браслета 22мм, AX195"
L Duchen D591.42.38,34 700,"женские, швейцарские, кварцевые, 50WR, стекло: сапфировое, 25x32мм, ld-D591"
Seiko SBTR026,153 120,"мужские, японские, кварцевые, 100WR, стекло: минеральное повышенной прочности Hardlex"
Grand Seiko SBGW293G,21 800,"мужские, японские, механические с автоподзаводом, 100WR, стекло: сапфировое выпуклое с внутренним антибликовым покрытием"
Mazzucato SUB07-WH802,29 100,"мужские, Италия, механические с автоподзаводом, 100WR, стекло: минеральное закаленное K1, D 48мм, толщина 22,3мм, mz-SUB0"
Daniel Wellington DW00100161,24 280,"женские, Швеция, кварцевые, 30WR, стекло: минеральное, D 32мм, толщина 6мм, DW001001-w"
Elysee 80401,27 490,"мужские, Германия, кварцевые, 100WR, стекло: минеральное с сапфировым напылением и антибликовым покрытием, D 43мм"
Stuhrling 3942.1,27 600,"мужские, США, механические с автоподзаводом, 50WR, стекло: Krysterna, D 42мм, толщина 12мм, ширина ремешка 22мм, 3942."
D1 Milano PCBJ33,36 200,"мужские женские, Италия, кварцевые, 50WR, стекло: минеральное с антибликовым покрытием, D 40,5мм, толщина 8,8мм, вес 54г"
Suunto SS050861000,851 800,"мужские женские, Финляндия, процессор, 100WR, стекло: сапфировое, D 49мм, толщина 13,6мм, ширина ремешка 22мм, вес 74г"
Daniel Wellington DW00100433,35 990,"женские, Швеция, кварцевые, 30WR, стекло: минеральное, 20x26мм, толщина 6мм, ширина браслета 10мм, DW001004-w"
Seiko SRPJ87K1,22 900,"мужские, японские, механические с автоподзаводом, 100WR, стекло: минеральное выпуклое повышенной прочности Hardlex"
AGELOCER 9104K6,44 300,"мужские, Гонконг, механические, 50WR, стекло: сапфировое, D 42мм, толщина 10мм, ширина ремешка 22мм, 910_agel"
Stuhrling 3917.1,172 990,"мужские, США, механические с автоподзаводом, 50WR, стекло: Krysterna, D 43мм, толщина 12,5мм, ширина ремешка 22мм, 3917."
Infantry REVO-SKL-03-V2,22 490,"мужские, Китай, механические с автоподзаводом, 100WR, стекло: сапфировое, 47x47мм, толщина 16мм, ширина ремешка 24мм"
LIU JO TLJ1988,29 990,"женские, Италия, кварцевые, 50WR, стекло: минеральное, D 35мм, lj-TLJ198"
Citizen JW0148-12L,37 400,"мужские, японские, кварцевые, 200WR, стекло: сапфировое, D 46мм, толщина 13,5мм, вес 107г, JW012"
Rodania R16025,14 350,"мужские, Бельгия, кварцевые, 50WR, стекло: сапфировое, R1602-loc"
COACH 14504018,90 700,"женские, США, кварцевые, 30WR, стекло: минеральное, D 36мм, 1450401-gr"
SAGA 53628-SVMRRD-2,31 790,"женские, Китай, кварцевые, 30WR, стекло: минеральное, D 35мм, sg-53628"
Thomas Sabo WA0404-201-211-33,59 390,"женские, Германия, кварцевые, 100WR, стекло: минеральное с сапфировым покрытием"
CIGA Design DFH011-SS02-2B5B,24 500,"мужские, Китай, процессор Huawei, 50WR, стекло: сапфировое, D 42мм, толщина 10,2мм, DFH011_cd"
Mathey-Tissot D117RS,56 650,"женские, швейцарские, кварцевые , 50WR, стекло: сапфировое, D 34мм, mt-D117"
Continental 23001-GD158830,40 800,"мужские, швейцарские, кварцевые, 50WR, стекло: сапфировое, D 41мм, 23001-GD"
Calvin Klein K8G23626,44 400,"женские, США, кварцевые, 30WR, стекло: минеральное, D 28мм, ck-K8G23"
Mathey-Tissot HB611251PBR,60 320,"мужские, швейцарские, кварцевые, 50WR, стекло: минеральное с сапфировым покрытием, D 42мм, толщина 8мм, mt-HB611251"
Seiko SUR336P1,75 800,"женские, японские, кварцевые, 30WR, стекло: минеральное выпуклое повышенной прочности Hardlex"
D1 Milano ATBU02,24 100,"мужские женские, Италия, механические с автоподзаводом, 100WR, стекло: сапфировое с антибликовым покрытием"
Lacoste 2010972,33 700,"мужские, Франция, кварцевые, 50WR, стекло: минеральное, D 44мм"
Calvin Klein K4N21441,37 450,"мужские, США, кварцевые, 30WR, стекло: минеральное, ck-K4N21-2"
Daniel Klein DK.1.13690-3,77 100,"мужские, Турция, кварцевые, 30WR, стекло: минеральное, D 31мм, DK.1.13690"
Aviator V.1.33.2.251.4,19 290,"женские, швейцарские, кварцевые, 100WR, стекло: сапфировое с антибликовым покрытием, D 36мм, V.1.33."
Mido M032.607.36.050.00,14 690,"мужские, швейцарские, механические с автоподзаводом, 100WR, стекло: сапфировое, D 44мм"
Suunto SS050858000,35 550,"мужские, Финляндия, процессор, 100WR, стекло: сапфировое, D 49мм, толщина 13,6мм, ширина ремешка 22мм, вес 74г"
Casio G-SHOCK GA-2200FF-8A,2 700,"мужские, японские, кварцевые, 200WR, стекло: минеральное, 47,1х50,8мм, толщина 12,8мм, вес 57г, GA-2200"
TOUS 200351053,3 860,"женские, Испания, кварцевые, 50WR, стекло: минеральное, D 36мм"
Invicta IN32087,52 500,"женские, США, кварцевые, 100WR, стекло: минеральное закаленное Flame Fusion"
Casio G-SHOCK GA-100B-7A,109 800,"мужские, японские, кварцевые, 200WR, стекло: минеральное, 55x51,2мм, толщина 16,9мм, вес 70г, GA-100"
Santa Barbara Polo & Racquet Club SB.1.10487-1,84 410,"женские, США, кварцевые, стекло: минеральное, D 33мм, высота корпуса 40мм"
Delbana 42701.626.6.061,109 700,"мужские, швейцарские, кварцевые, 30WR, стекло: минеральное с сапфировым покрытием, D 41мм, толщина 8,5мм"
Philipp Plein PWDAA0121,189 720,"женские, Германия, кварцевые, 50WR, стекло: минеральное, D 36мм, толщина 11,5мм, PWDAA_pp"
Tommy Hilfiger 1710384,21 900,"мужские, США, кварцевые, 50WR, стекло: минеральное, D 44мм"
6МХ 4200/230.0.614,32 250,"мужские, российские, кварцевые, 200WR, стекло: минеральное, D 48мм, толщина 16,7мм, ширина ремешка 24мм, 4200/230"
